,0
A1 ,0.233333333
A2 ,0.2
A3 ,0.133333333
A4 ,0.066666667
A5 ,0.066666667
A6 ,0.166666667
A7 ,0.166666667
A8 ,0.183333333
A9 ,0.066666667
A10 ,0.05
B1 ,0.166666667
B2 ,0.166666667
B3 ,0.233333333
B4 ,0.05
B5 ,0.083333333
B6 ,0.266666667
Meas 19 ,0.016666667
Meas 20,0.083333333
B7 ,0.233333333
B8 ,0.15
B9 ,0.35
B10 ,0.016666667
B11 ,0.016666667
B12 ,0.950273224
C1 ,0.183333333
C2 ,0.2
C3 ,0.166666667
C4 ,0.233333333
C5 ,0.166666667
C6 ,0.133333333
C7 ,0.1
C8 ,0.083333333
C9 ,0.15
C10 ,0.2
C11 ,0.183333333
C12 ,0.283333333
D1 ,0.133333333
D2 ,0.15
D3 ,0.15
D4 ,0.1
D5 ,0.15
D6 ,0.2
D7 ,0.05
D8 ,0.066666667
D9 ,0.083333333
D10 ,0.1
D11 ,0.1
D12 ,0.166666667
E1 ,0.1
E2 ,0.166666667
E3 ,0.083333333
E4 ,0.05
E5 ,0.133333333
E6 ,0.05
E7 ,0.066666667
E8 ,0.166666667
E9 ,0.1
E10 ,0.216666667
E11 ,0.1
E12 ,0.083333333
F1 ,0.05
F2 ,0.15
F3 ,0.116666667
F4 ,0.15
F5 ,0.216666667
F6 ,0.233333333
F7 ,0.066666667
F8 ,0.183333333
F9 ,0.116666667
F10 ,0.066666667
F11 ,0.116666667
F12 ,0.116666667
G1 ,0.15
G2 ,0.266666667
G3 ,0.066666667
G4 ,0.15
G5 ,0.15
G6 ,0.133333333
G7 ,0.1
G8 ,0.116666667
G9 ,0.183333333
G10 ,0.1
G11 ,0.133333333
G12 ,0.133333333
H1 ,0.016666667
H2 ,0.016666667
H3 ,0.033333333
H4 ,0.033333333
H5 ,0.016666667
H6 ,0.116666667
H7 ,0.066666667
H8 ,0.066666667
H9 ,0.083333333
